FFQ	14	4	7	64	24718	58959	42764	57444	64562	60097	71629	77063	96790	90451	124796	139282	141939	189670	190550	244825	304028	294309	371196	525342	569520	727386	875381	1167032	1465282	1927352	2789566	3704492	4565440	5371416	6380052	8313379	10113007	15379128	24812076	28778652	1	0	0
FFQ	15	23	23	124	26239	61822	42981	59485	66585	61184	73720	78625	99272	91741	126088	141468	144201	192326	192864	247737	306749	299056	376994	531110	577629	733787	885633	1177553	1475230	1939764	2809417	3725853	4589456	5403792	6414193	8346082	10141858	15399167	24784968	28484852	0	0	0
FFQ	16	26	16	119	23700	56803	40050	54937	61844	57978	69603	74131	94716	88034	121782	136690	139618	187201	188040	242039	299932	293328	368507	525924	570181	730129	882636	1172141	1474286	1940125	2818959	3743224	4624410	5438375	6457893	8404467	10205661	15476979	24847480	28197687	0	0	0
FFQ	17	15	17	94	23984	55879	39756	54771	61765	56874	68730	74080	94243	87814	121724	136525	139180	186697	188601	241734	299908	292414	369177	525069	570609	729404	882044	1176931	1475532	1949293	2827513	3761069	4639257	5464720	6476877	8435704	10228881	15504307	24863030	28005429	0	0	0
FFQ	18	77	35	175	24423	56846	39966	55668	61899	58116	69439	73936	95018	88067	121888	136546	139625	186973	188815	242337	301200	293481	369989	526239	571452	732024	885249	1177880	1478677	1951493	2836129	3770359	4649430	5482139	6496373	8459525	10257961	15537654	24865958	27826589	0	1	0
FFQ	19	13	38	143	23752	56412	39275	54287	60618	56553	68452	72442	93537	86861	120648	135412	138827	185278	187023	241448	299524	293169	369564	525894	572627	730408	886746	1184591	1483010	1959950	2851561	3795706	4683946	5516143	6536081	8494488	10301222	15575583	24868357	27560062	0	0	0
FFQ	20	7	7	70	22527	53654	37567	52201	59108	54762	66814	70952	92006	85522	118403	133480	135605	183865	184602	238125	298463	291061	366485	523483	570504	731378	884743	1185405	1490546	1970791	2870184	3828571	4721141	5557692	6586281	8556939	10361822	15645840	24882292	27196752	0	1	0
FFQ	21	10	3	78	22195	52010	36384	51088	57117	53403	64895	69308	89668	84278	115876	131854	134674	181296	182667	236019	294105	288031	363994	519675	565324	728327	881201	1181622	1486461	1964878	2866095	3821915	4724061	5567825	6595448	8573834	10379990	15675917	24934210	27133914	0	1	0
FFQ	22	32	16	119	22492	53114	36717	51953	58397	53960	65296	70014	90575	84365	116842	131655	135055	180629	183241	235839	295558	288680	364356	519041	566390	725714	880955	1180635	1485213	1965565	2865390	3829141	4735006	5579374	6620101	8594463	10407382	15704973	24965615	26965788	0	0	0
FFQ	23	9	7	57	20679	48690	34139	48057	54766	51194	62417	66789	86134	80844	111793	126690	130427	175830	177712	229244	287637	280904	357094	509143	556399	716395	869567	1166376	1469227	1948763	2853146	3818724	4724874	5579600	6615605	8614477	10422130	15752385	25056551	27005176	0	0	0
FFQ	24	29	20	79	20110	47649	33273	47176	53415	49559	60460	65144	83975	79384	109542	124192	127880	171365	174229	224401	282476	277003	351418	502190	551135	708872	863247	1158217	1461054	1940223	2844100	3808879	4723711	5576893	6626665	8622212	10442357	15780267	25111214	27005636	0	0	0
FFQ	25	10	3	63	19626	46121	31827	44888	51507	48257	59397	63055	82656	77585	107404	121466	125684	169680	172560	222051	279167	274229	347690	497332	545651	702737	855052	1151669	1448722	1925915	2827469	3797549	4709083	5576293	6631901	8630325	10465471	15807614	25187880	27004062	0	0	0
FFQ	26	20	8	71	19379	46191	32284	45598	51888	48589	59385	63933	82987	77992	108201	122169	125849	169923	172506	222402	279491	275407	349652	499332	548812	704885	856927	1152343	1454200	1934301	2836832	3803756	4728195	5587568	6650882	8651498	10486119	15836097	25190613	26833366	0	0	0
FFQ	27	2	2	25	18448	43772	30720	43423	50248	46631	57359	61231	80172	75692	105270	119124	123528	166854	169117	219452	274673	270877	343813	493920	540078	698411	850813	1144276	1445212	1924933	2829372	3797241	4727963	5594292	6658400	8659744	10502082	15878144	25249184	26815152	0	1	0
FFQ	28	49	33	101	18359	43285	30410	43453	48944	45800	56385	61269	79088	74958	103915	118509	121902	165234	169379	218482	273669	268836	341449	490167	539335	698870	850796	1145933	1449628	1932574	2842204	3826206	4760766	5639471	6707271	8721258	10561799	15937990	25273105	26448769	0	0	0
FFQ	29	4	3	48	18106	43165	30219	43173	49229	46148	56518	60457	78994	74937	104339	118033	122410	165799	169221	219103	273715	269732	343066	492530	541379	697280	850317	1148363	1449801	1935287	2849333	3834198	4773786	5648549	6717265	8742753	10582882	15962009	25288223	26309277	0	0	0
FFQ	30	8	6	36	17765	41906	29399	42467	47876	45131	55670	60242	78288	74169	102779	116642	120780	164242	168221	216590	271530	267363	340141	488678	538205	694264	849335	1146656	1446883	1932783	2846975	3838176	4775628	5656226	6733592	8761424	10600101	15994088	25314231	26231155	0	0	0
FFQ	31	3	3	30	17390	41279	29324	41874	47918	44644	55179	59334	77957	73590	102403	116626	121919	163314	167296	216740	271177	267921	341496	490347	538687	696942	850735	1148165	1449876	1936023	2852151	3847446	4787394	5673837	6748813	8781672	10620928	16018584	25330528	26080106	0	0	0
FFQ	32	13	9	50	18266	42718	28887	42615	48219	45066	56018	60078	78165	73399	103036	116803	121742	163185	168022	216242	271541	267863	342151	490125	539474	696386	853018	1149648	1450877	1941184	2858594	3849575	4794490	5679192	6758028	8790470	10629379	16022404	25319887	26022832	0	0	0
FFQ	33	3	3	37	17605	42067	29253	42261	47557	44965	55458	59546	77694	73008	102204	115878	120885	163322	166999	213909	269899	266156	339995	486770	536290	694318	847057	1143026	1445515	1933836	2856178	3850227	4800773	5688824	6772796	8807484	10661541	16055140	25383250	25897922	0	0	0
FFQ	34	122	49	175	18517	43463	30092	43613	49083	45930	56709	60890	78422	74241	103400	117225	122286	164071	168840	216841	272118	268276	341511	489564	540314	696389	850302	1147796	1448833	1938777	2858131	3853979	4812333	5703859	6781346	8824844	10674889	16072440	25368545	25771436	0	0	0
FFQ	35	34	14	72	18160	43052	29555	42903	48695	45570	56080	60576	78120	74704	103036	116322	121543	163168	168689	215162	269797	267482	340781	488221	536968	693343	846357	1140742	1438895	1925653	2841726	3829948	4778702	5671701	6759913	8798401	10654045	16060145	25403987	25977389	0	0	0
FFQ	36	1	5	12	16766	40126	28339	40289	46363	43529	53552	58274	75552	71317	99882	112633	118740	159267	165053	211361	264853	263260	336002	481753	529092	685639	839924	1132180	1431552	1917136	2837941	3828443	4785176	5683133	6781107	8825973	10685600	16107886	25472645	25879294	0	1	0
FFQ	37	2	1	31	17207	40549	27930	40576	46534	43417	53644	58090	75209	71882	99850	112238	118908	159417	164228	210291	264485	262207	334685	478497	527999	682225	833853	1128347	1425151	1907597	2821243	3811494	4768042	5668308	6772929	8807239	10677007	16110729	25515730	25971880	0	0	0
FFQ	38	3	3	29	16933	40402	27955	40256	45955	42839	53187	57622	75220	71052	99009	112160	117793	157249	162819	210081	263087	261719	332056	478112	528014	683110	833208	1127434	1427190	1910760	2829185	3825353	4786638	5690946	6791621	8841706	10709833	16144921	25515457	25798734	0	0	0
FFQ	39	59	72	189	17837	41127	28278	40758	46606	43173	53382	57691	74877	71296	99041	111694	118167	157708	163021	208946	262349	260151	331492	475112	524631	680761	830016	1126942	1419633	1907411	2827250	3825894	4789387	5697960	6805332	8861476	10726307	16166251	25552339	25705034	0	1	0
FFQ	40	19	11	38	16394	39625	27860	39796	45854	42808	52613	57015	74281	70071	98404	111973	117376	157153	163504	208303	262937	259881	332222	476530	524788	680931	834634	1129589	1424762	1914152	2838060	3835652	4800272	5710988	6819277	8872048	10758508	16200884	25546343	25564095	0	0	0
FFQ	41	2	0	24	16926	40066	28236	40410	45862	42940	53274	58080	74900	71072	98648	111931	118232	159022	163919	208572	263864	262747	333727	479163	528629	682560	835802	1132021	1426659	1913479	2834118	3842566	4803235	5711071	6821916	8874099	10756180	16202286	25556512	25516901	0	0	0
FFQ	42	22	18	121	18332	42568	28530	42216	47626	44328	54475	58533	75825	72242	100029	113082	119436	159755	165229	210773	264351	262532	334938	482183	530351	683986	838986	1133659	1430442	1914670	2842992	3839828	4811298	5717444	6832192	8880120	10751379	16204558	25529763	25470839	0	0	0
FFQ	43	100	46	202	17389	40186	27885	40130	45528	42993	52931	56924	74818	70364	98048	110678	116871	156237	161856	208370	262138	259574	331344	474365	524133	678234	833359	1125494	1420684	1906677	2826709	3823464	4792257	5710460	6823301	8880877	10760697	16226307	25609693	25518328	0	0	0
FFQ	44	13	5	42	16855	40541	28012	39982	45524	43370	53176	57959	74260	70799	98723	111933	117690	157273	163627	209784	262718	260931	333286	477805	526785	682517	834563	1130248	1425028	1913669	2841940	3839057	4814064	5729418	6851039	8906293	10792099	16245215	25567869	25345538	0	1	0
FFQ	45	79	47	167	17208	40342	28355	40168	46099	42952	52917	57262	74328	71110	98417	111722	117439	156021	162769	208323	261141	258472	329343	474841	524267	677449	830081	1121617	1414402	1898937	2822015	3817975	4788147	5707707	6829561	8890731	10772680	16229911	25604318	25530331	0	0	0
FFQ	46	15	13	58	17040	40340	27905	40339	45550	42666	52865	57503	74037	71008	97559	110981	117310	156021	162782	206454	259191	258147	330196	473936	522250	673887	828247	1121941	1410976	1894282	2819975	3815463	4790793	5711313	6840290	8908553	10791949	16255199	25631129	25451488	0	0	0
FFQ	47	14	8	48	17235	41148	27754	40637	46140	43258	52936	57230	74562	70898	98036	110333	117259	155317	162939	206797	259322	258128	330068	472637	520969	673687	826120	1115551	1407696	1889908	2807949	3799864	4772552	5689224	6825155	8890228	10781247	16253946	25657998	25554853	0	0	0
FFQ	48	36	18	100	16332	39482	27511	39280	44714	42281	51817	56218	73202	69312	96703	109422	116374	154635	161561	205498	257580	257266	326995	470714	519556	670684	823295	1114873	1404782	1892419	2814220	3815018	4796331	5718499	6847125	8923020	10819624	16292849	25681432	25358873	0	0	0
FFQ	49	19	11	54	17347	40426	27396	39974	45140	42201	52316	56285	72728	70360	96712	108646	116228	153531	160830	205066	257159	256760	327371	469213	518906	672008	823346	1113553	1405597	1892475	2817718	3816229	4805686	5729437	6869450	8945151	10842877	16333428	25699431	25208585	1	0	0
FFQ	50	10	5	52	17367	40559	28225	40567	46092	43042	52665	57940	74129	71062	97684	110273	117318	155670	163234	206963	259024	257657	330523	471970	521469	675510	826670	1117522	1409690	1895008	2815284	3813349	4795146	5719313	6861385	8933821	10835029	16302684	25676335	25269405	0	0	0
FFQ	51	41	25	110	16982	39621	27176	39420	44399	42028	51962	56113	72460	69579	95512	108871	115210	153470	160494	204260	255813	255119	325681	467681	517227	670756	821763	1114567	1399491	1887001	2806755	3808436	4793054	5721156	6867299	8947635	10836517	16335744	25727881	25252342	0	0	0
FFQ	52	5	7	43	16901	39744	27438	39627	44872	42360	52691	56866	73222	70158	96741	109941	116264	155318	161236	205906	256625	257648	328720	470502	519125	671320	824936	1116130	1408189	1892486	2818166	3816921	4803583	5732397	6874207	8956419	10854443	16330588	25690415	25177491	0	0	0
FFQ	53	4	4	33	16591	39583	27721	39599	45567	42193	51634	57227	73408	70133	96773	109243	116551	154126	161938	205806	257706	257566	328592	469597	519685	672860	824431	1116518	1406306	1890501	2815790	3813086	4797933	5726789	6872758	8950017	10850536	16331415	25695259	25204171	0	1	0
FFQ	54	6	1	38	17061	40785	28073	40604	45933	42892	52842	57398	74178	70637	97516	109538	117162	154265	161692	205274	257910	257312	329547	471298	519223	671286	823604	1114708	1404262	1887512	2811943	3808858	4789301	5725051	6866538	8948565	10851098	16329140	25697052	25229548	0	0	0
FFQ	55	2	2	20	16680	39867	28007	39742	45060	43134	52549	57300	74296	70724	97824	109871	117551	155414	162862	206498	258093	257894	330511	472573	519580	673801	825365	1116435	1407091	1893533	2818459	3817000	4811673	5745039	6895632	8971360	10879397	16360715	25700059	25038038	0	0	0
FFQ	56	36	18	96	16834	39901	27993	39769	45665	42457	52626	57417	73486	70190	96778	109279	116783	153851	162112	204751	255451	256959	327597	469213	516094	667584	818693	1106214	1392433	1874283	2794129	3782545	4772304	5702599	6857892	8938316	10857149	16347460	25752719	25309975	0	0	0
FFQ	57	78	39	153	18230	42858	29341	41892	47577	44420	53872	59357	75362	71500	98521	110355	119106	155023	163544	206296	257723	258275	328035	469430	515610	666190	818126	1103106	1385721	1865972	2773392	3753678	4743198	5669384	6826495	8899452	10820023	16306278	25777435	25534604	0	0	0
FFQ	58	43	31	89	16525	39869	27396	39401	44668	42308	51905	57193	72385	68732	95923	107371	115739	152385	159614	202826	253239	253913	324351	462975	511247	661513	812333	1099079	1381017	1860301	2771266	3757911	4748420	5681723	6842234	8923723	10846078	16358352	25822199	25443373	0	1	0
FFQ	59	59	32	126	16613	40322	27998	40122	45327	42537	51881	56640	72766	69794	95901	107185	116402	151998	160982	202670	253530	255105	324132	463373	511873	661286	811434	1094593	1375407	1852451	2762526	3740962	4730852	5665654	6829744	8909088	10838805	16356685	25854210	25518586	0	0	0
FFQ	60	9	7	47	16552	39665	27353	39033	44517	41880	51283	56374	71954	69498	95017	107068	114817	151196	159596	201134	252420	253035	322818	460826	508914	658965	807432	1092410	1371398	1844395	2755511	3737776	4725063	5665557	6833804	8918796	10848995	16373647	25875992	25514897	0	0	0
FFQ	61	12	7	37	16793	39896	27481	39592	44986	42391	51926	56644	72356	69750	95557	107174	115484	152048	160801	202101	253218	253985	325015	463369	511072	660970	811449	1096800	1377543	1853011	2762469	3743159	4737483	5676707	6847837	8927312	10862542	16382731	25863434	25404509	0	0	0
FFQ	62	63	40	147	17672	41252	29100	40609	46265	43590	53336	58034	74271	71512	97707	109603	118721	154896	163205	205585	255995	256404	327452	467704	515407	663595	812804	1098940	1379434	1856490	2761478	3741272	4727560	5664166	6828274	8914803	10843013	16348999	25827226	25493026	1	0	0
FFQ	63	18	13	52	16898	40864	28301	40227	45320	42972	52578	57957	73442	70177	96935	108717	117206	153265	162005	204443	253968	255186	325333	465243	513646	660484	811461	1096586	1374593	1848092	2754914	3730857	4712590	5653193	6819132	8905242	10835567	16354203	25855528	25572443	0	0	0
FFQ	64	17	14	42	16840	39564	27628	39561	45129	42201	51887	56999	72709	69555	96780	107413	116895	152530	161267	203123	253204	255371	325685	464226	511218	660378	809961	1095341	1370234	1842903	2750571	3719533	4706796	5650164	6819957	8904347	10841891	16355958	25857927	25613832	0	0	0
FFQ	65	28	8	41	15944	38463	27003	38193	43803	40930	50642	55751	71234	68117	93887	104944	114407	149832	158631	200290	249880	251265	321149	457928	506876	654205	801822	1086535	1364982	1841951	2747319	3731588	4722393	5670343	6843259	8938363	10872026	16401298	25923490	25450831	0	0	0
FFQ	66	176767	12	69	16918	40095	27620	39749	44550	42431	51805	56456	72130	69043	95317	106044	115190	150421	159728	200646	248838	250864	320918	458599	505915	651170	798134	1081185	1355572	1824888	2724029	3693275	4688002	5633436	6805737	8896907	10837008	16382187	25923874	25564122	0	0	0
FFQ	67	15	10	58	16984	40207	27934	40218	45243	42758	51954	56929	72274	69845	95954	107060	116247	151301	160699	201875	250183	252461	321940	460232	505663	653613	802986	1083439	1357748	1823201	2728695	3694210	4691293	5629793	6809943	8901730	10847934	16392989	25969369	25634664	0	0	0
FFQ	68	11	7	41	16156	38400	26769	38017	43215	41203	50023	55485	70446	67924	93966	104503	113827	148429	157538	197440	246631	249202	318861	454162	500942	648703	794813	1072641	1345424	1812174	2707806	3676415	4669057	5614491	6801957	8901322	10859505	16417246	26018358	25736541	0	0	0
FFQ	69	16	8	36	16365	39185	27104	38479	44203	41380	51444	55523	70451	68066	93891	104103	114172	148706	157867	199118	246375	248707	317619	453973	501792	645729	792339	1071666	1340457	1809333	2699610	3667142	4660424	5607205	6801928	8894656	10868312	16425058	26054927	25732282	0	0	0
FFQ	70	59	23	91	16808	39487	27565	39401	44310	41756	50907	56456	71416	68349	95122	105362	115593	149209	159296	199376	247154	249473	318893	455171	500906	644677	792590	1068016	1335198	1799163	2686720	3639819	4635036	5571371	6767690	8854543	10820918	16385390	26047448	26008889	0	0	0
FFQ	71	25	13	66	16588	39097	27644	39047	44493	41536	51329	56501	71387	69100	94854	104788	114947	148928	159128	199730	247585	250220	319262	454238	502289	645035	791678	1070364	1337000	1795671	2691275	3645646	4640339	5587434	6780830	8870467	10836459	16414660	26066033	25883964	0	1	0
FFQ	72	29	11	55	16299	38863	27290	38361	44087	41934	50444	55613	70939	67993	94252	104393	114755	149017	157712	197913	245517	249439	317102	452657	500851	644206	790610	1065424	1332314	1796355	2682488	3637338	4628139	5569890	6766322	8863976	10834942	16398563	26086535	25977023	0	0	0
FFQ	73	20	8	64	16396	39194	27021	39217	44332	41801	51047	55693	71125	68290	94646	105170	115031	150157	159044	198554	247560	250727	319720	456151	503535	649270	796306	1074254	1343274	1809870	2702746	3665580	4663125	5620214	6817288	8912947	10881031	16446735	26049600	25622908	0	0	0
FFQ	74	49	20	84	16930	39702	27084	39091	44438	41395	51104	55711	70840	68331	93700	104888	114217	148198	157903	197336	246447	247969	318246	453517	498537	643762	788437	1065664	1330073	1796235	2681570	3634054	4632082	5579321	6778641	8875041	10845695	16424224	26085643	25913472	0	0	0
FFQ	75	9	9	42	17514	40778	27602	40305	45414	42471	51838	56839	72240	69435	95403	106695	115801	150224	160351	200059	248904	251044	321341	456075	502443	648690	794370	1072123	1336093	1798918	2685827	3642413	4639206	5588548	6791114	8884666	10863691	16438236	26091496	25761424	0	0	0
FFQ	76	58	37	124	17324	40944	28269	40519	45778	43144	52147	56650	72616	70134	95739	106268	115647	149065	160317	199587	248214	251512	320371	454762	503854	646514	791670	1068022	1329120	1794453	2681055	3631392	4630004	5580615	6788208	8885248	10866488	16442071	26106606	25795105	0	0	0
FFQ	77	83	32	112	16680	39546	27627	39212	44049	41579	50921	55631	70697	68253	93597	104073	114132	147636	157934	197469	244289	247735	316117	449005	495373	638296	783654	1058024	1320209	1777877	2664956	3615644	4615385	5578539	6791878	8892585	10877494	16492133	26208127	25773068	0	0	0
FFQ	78	101	36	119	16386	39518	27135	38740	44404	41516	50751	55409	70551	67735	93169	102919	113754	146676	157328	196084	242846	247292	314872	446930	493558	637020	778332	1054350	1313524	1771659	2647552	3600112	4604654	5564695	6782136	8882859	10884756	16489635	26251089	25839449	0	0	0
FFQ	79	19	11	64	17042	40592	27949	39601	45065	42235	51805	57011	72500	69493	94707	105058	115794	149436	160088	197968	247543	250359	318445	452280	500188	641989	788332	1063785	1322140	1782852	2670372	3618165	4626814	5587772	6804508	8911661	10903973	16511230	26196107	25624697	0	1	0
FFQ	80	10	7	30	16669	39540	27777	39206	44700	41894	50620	56044	70492	68407	93908	103866	114980	147786	158619	197375	243656	247212	316787	450443	496916	638033	782794	1055440	1315487	1770240	2651309	3594788	4604289	5565859	6792795	8891993	10897310	16506195	26242585	25773590	0	0	0
FFQ	81	107	35	123	17712	41485	28027	40665	45707	42808	51869	56866	72363	69030	94738	104688	115453	148505	159312	198355	245540	247939	318086	450674	497516	637701	785415	1058731	1316351	1774440	2654553	3597374	4606509	5573777	6796989	8906612	10907478	16518051	26241583	25686484	0	0	0
FFQ	82	8	7	31	16360	39017	27188	38905	44625	41589	50787	55694	71123	68523	94515	104407	114521	147592	158796	197076	244007	248755	317567	449757	496561	638794	781892	1056447	1311069	1770192	2650149	3588069	4599521	5558292	6785039	8885299	10893383	16503765	26247942	25812387	0	0	0
FFQ	83	100	49	164	17872	41534	28375	40917	46030	43226	51965	57129	72307	69564	95266	105857	116381	149061	159680	198965	245487	249943	317658	451694	498689	639241	783463	1056963	1313613	1767560	2644123	3586275	4588245	5547984	6767773	8872498	10873210	16487477	26228754	25894559	0	0	0
FFQ	84	8	7	58	17192	40396	27450	39960	44955	42286	51275	56769	71820	68961	94829	104707	116002	148711	160398	197140	244411	249967	318574	451167	497084	638508	782803	1055434	1313376	1765976	2644205	3579003	4588358	5548051	6778513	8883063	10890796	16506984	26263060	25827394	0	0	0
FFQ	85	13	14	56	17045	40269	27839	40184	45030	42164	50995	56442	70914	68933	94163	104181	114738	147125	158468	196736	243875	248095	316515	449266	495866	637126	781116	1053150	1309797	1760455	2638915	3569823	4578333	5543091	6770020	8879637	10897451	16520378	26294817	25846616	0	0	0
FFQ	86	57	27	129	17050	40429	28174	39947	44770	42457	51309	56345	71488	68805	94591	103513	115798	147810	159023	197386	243522	246377	315151	447041	494442	632207	774544	1042784	1292017	1745995	2608598	3535428	4534257	5501056	6730711	8833312	10858822	16486668	26338441	26169170	0	0	0
FFQ	87	13	6	41	16381	38704	27192	38722	43476	41157	49621	55235	69482	67904	92876	101830	113387	145669	156125	193392	239827	244960	312128	442328	489037	627273	768658	1034723	1284018	1733143	2593917	3515434	4519154	5485442	6721621	8828745	10860912	16510575	26422752	26223790	0	1	0
FFQ	88	7	4	45	16425	39196	27145	38647	43919	41720	49993	55530	69457	67600	92385	101977	113888	146068	157006	194048	239926	245030	312717	442182	487740	626744	767826	1032791	1282252	1728830	2589490	3514363	4517400	5490905	6735608	8842757	10879095	16535119	26439066	26144750	0	0	0
FFQ	89	30	13	41	16508	39428	27469	38967	43933	41252	49930	55758	70218	67942	92248	102539	113228	144909	156601	194830	238657	244452	312076	440766	487197	624633	763640	1031054	1279217	1722612	2586381	3498894	4518079	5486595	6731760	8844185	10886105	16544175	26490367	26122962	0	0	0
FFQ	90	17	13	43	17056	40101	28361	39306	44547	41933	51065	56237	71033	68508	94375	102827	115046	146033	159031	195913	241219	247585	314344	444746	489750	626811	768227	1034854	1277775	1722990	2582553	3500616	4507595	5474629	6721638	8836609	10869136	16527598	26462467	26187064	0	0	0
FFQ	91	43	8	69	17061	40356	28609	39840	45063	42640	51645	57142	71469	69477	94622	103331	116545	148276	160095	196808	242428	247670	315938	447787	492444	630402	771262	1037898	1283400	1728401	2589235	3502615	4512302	5481293	6730813	8834259	10882481	16530078	26440698	26125147	1	0	0
FFQ	92	25	13	56	17948	42441	29271	41294	46695	43972	52535	58559	73143	70365	96428	105353	117259	149524	160576	199759	245510	249887	318408	450115	495536	634589	774486	1041078	1287732	1730841	2585181	3496166	4502082	5465737	6722125	8824562	10858045	16514172	26413949	26194234	0	0	0
